====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   l   l   l   l   l   l   l   l   l   l   l   l   l   n   n   n   n   c   c   c   d   d   d   c   c   d   d   
       4400.0 | 1   0   1   0   0   0   0   0   0   0
       4480.0 | 1   0   0   0   0   0   0   0   0   0
       4480.9 | 1   1   0   0   0   0   0   0   0   0
       4483.3 | 1   0   0   0   0   0   0   0   0   0
       4483.5 | 0   0   0   0   0   0   0   0   0   0
       4487.9 | 1   0   0   0   0   0   0   0   0   0
       4560.0 | 1   0   0   0   0   0   0   0   0   0
       4640.0 | 1   0   0   0   0   0   0   0   0   0
       4642.8 | 1   0   0   0   0   0   0   0   0   0
       4720.0 | 1   0   0   0   0   0   0   0   0   0
       4800.0 | 1   0   0   0   0   0   0   0   0   0
       4802.4 | 1   0   0   0   0   0   0   0   0   0
       4803.8 | 1   0   0   0   0   0   0   0   0   0
       4880.0 | 1   0   0   0   0   0   0   0   0   0
       4960.0 | 1   0   0   0   0   0   0   0   0   0
       5040.0 | 1   0   0   0   0   0   0   0   0   0
       5120.0 | 1   0   0   0   0   0   0   0   0   0
       5200.0 | 1   0   0   0   0   0   0   0   0   0
       5280.0 | 1   0   0   0   0   0   0   0   0   0
       5360.0 | 1   0   0   0   0   0   0   0   0   0
       5440.0 | 1   0   0   0   0   0   0   0   0   0
       5442.9 | 1   0   0   0   0   0   0   0   0   0
       5445.4 | 1   0   0   0   0   0   0   0   0   0
       5448.8 | 1   0   0   0   0   0   0   0   0   0
       5520.0 | 1   0   0   0   0   0   0   0   0   0
       5600.0 | 1   0   0   0   0   0   0   0   0   0
       5680.0 | 1   0   0   0   0   0   0   0   0   0
       5760.0 | 1   0   0   0   0   0   0   0   0   0
       5840.0 | 1   0   0   0   0   0   0   0   0   0
       5920.0 | 1   0   0   0   0   0   0   0   0   0
       6000.0 | 1   0   0   0   0   0   0   0   0   0
       6080.0 | 1   0   0   0   0   0   0   0   0   0
       6160.0 | 1   0   0   0   0   0   0   0   0   0
       6240.0 | 1   0   0   0   0   0   0   0   0   0
       6242.1 | 1   0   0   0   0   0   0   0   0   0
       6320.0 | 1   0   0   0   0   0   0   0   0   0
       6400.0 | 1   0   0   0   0   0   0   0   0   0
       6403.1 | 1   0   0   0   0   0   0   0   0   0
       6403.5 | 1   0   0   0   0   0   0   0   0   0
       6480.0 | 1   0   0   0   0   0   0   0   0   0
       6560.0 | 1   0   0   0   0   0   0   0   0   0
       6640.0 | 1   0   0   0   0   0   0   0   0   0
       6720.0 | 1   0   0   0   0   0   0   0   0   0
       6800.0 | 1   0   0   0   0   0   0   0   0   0
       6880.0 | 1   0   0   0   0   0   0   0   0   0
       6960.0 | 1   0   0   0   0   0   0   0   0   0
       7040.0 | 1   0   0   0   0   0   0   0   0   0
       7120.0 | 1   0   0   0   0   0   0   0   0   0
       7200.0 | 1   0   0   0   0   0   0   0   0   0
       7203.0 | 1   0   0   0   0   0   0   0   0   0
       7203.6 | 1   0   0   0   0   0   0   0   0   0
       7280.0 | 1   0   0   0   0   0   0   0   0   0
       7360.0 | 1   0   0   0   0   0   0   0   0   0
       7362.6 | 1   0   0   0   0   0   0   0   0   0
       7362.7 | 1   0   0   0   0   0   0   0   0   0
       7362.8 | 1   0   0   0   0   0   0   0   0   0
       7364.3 | 1   0   0   0   0   0   0   0   0   0
       7364.9 | 1   1   0   0   0   0   0   0   0   0
       7440.0 | 1   1   0   0   0   0   0   0   0   0
       7520.0 | 1   1   0   0   0   0   0   0   0   0
       7522.9 | 1   0   0   0   0   0   0   0   0   0
       7523.4 | 0   0   0   0   0   0   0   0   0   0
       7524.7 | 1   0   0   0   0   0   0   0   0   0
       7525.0 | 1   1   0   0   0   0   0   0   0   0
       7600.0 | 1   1   0   0   0   0   0   0   0   0
       7680.0 | 1   1   0   0   0   0   0   0   0   0
       7683.0 | 1   0   0   0   0   0   0   0   0   0
       7683.2 | 0   0   0   0   0   0   0   0   0   0
       7684.9 | 0   1   0   0   0   0   0   0   0   0
       7685.2 | 1   1   0   0   0   0   0   0   0   0
       7760.0 | 1   1   0   0   0   0   0   0   0   0
       7840.0 | 1   1   0   0   0   0   0   0   0   0
       7843.4 | 1   0   0   0   0   0   0   0   0   0
       7844.8 | 1   1   0   0   0   0   0   0   0   0
       7920.0 | 1   1   0   0   0   0   0   0   0   0
       8000.0 | 1   1   0   0   0   0   0   0   0   0
       8003.3 | 1   0   0   0   0   0   0   0   0   0
       8003.9 | 0   0   0   0   0   0   0   0   0   0
       8006.1 | 1   0   0   0   0   0   0   0   0   0
       8006.4 | 1   1   0   0   0   0   0   0   0   0
       8080.0 | 1   1   0   0   0   0   0   0   0   0
       8160.0 | 1   1   1   0   0   0   0   0   0   0
       8161.2 | 1   0   1   0   0   0   0   0   0   0
       8163.2 | 0   0   1   0   0   0   0   0   0   0
       8164.9 | 0   1   1   0   0   0   0   0   0   0
       8165.2 | 1   1   1   0   0   0   0   0   0   0
       8240.0 | 1   1   1   0   0   0   0   0   0   0
       8320.0 | 1   1   0   0   0   0   0   0   0   0
       8323.4 | 1   0   0   0   0   0   0   0   0   0
       8324.8 | 1   1   0   0   0   0   0   0   0   0
       8400.0 | 1   1   0   0   0   0   0   0   0   0
       8480.0 | 1   1   0   0   0   0   0   0   0   0
       8483.3 | 1   0   0   0   0   0   0   0   0   0
       8483.9 | 0   0   0   0   0   0   0   0   0   0
       8486.1 | 1   0   0   0   0   0   0   0   0   0
       8486.4 | 1   1   0   0   0   0   0   0   0   0
       8560.0 | 1   1   0   0   0   0   0   0   0   0
       8640.0 | 1   1   0   0   0   0   0   0   0   0
       8643.0 | 1   0   0   0   0   0   0   0   0   0
       8643.2 | 0   0   0   0   0   0   0   0   0   0
       8644.9 | 0   1   0   0   0   0   0   0   0   0
       8645.2 | 1   1   0   0   0   0   0   0   0   0
       8720.0 | 1   1   0   0   0   0   0   0   0   0
       8800.0 | 1   1   0   0   0   0   0   0   0   0
       8803.4 | 1   0   0   0   0   0   0   0   0   0
       8804.8 | 1   1   0   0   0   0   0   0   0   0
       8880.0 | 1   1   0   0   0   0   0   0   0   0
       8960.0 | 1   1   1   0   0   0   0   0   0   0
       8963.3 | 1   0   1   0   0   0   0   0   0   0
       8963.9 | 0   0   1   0   0   0   0   0   0   0
       8966.1 | 1   0   1   0   0   0   0   0   0   0
       9040.0 | 1   0   1   0   0   0   0   0   0   0
       9120.0 | 1   0   0   0   0   0   0   0   0   0
       9120.9 | 1   1   0   0   0   0   0   0   0   0
       9123.3 | 1   0   0   0   0   0   0   0   0   0
       9123.5 | 0   0   0   0   0   0   0   0   0   0
       9127.9 | 1   0   0   0   0   0   0   0   0   0
       9200.0 | 1   0   0   0   0   0   0   0   0   0
       9280.0 | 1   0   0   0   0   0   0   0   0   0
       9282.8 | 1   0   0   0   0   0   0   0   0   0
       9360.0 | 1   0   0   0   0   0   0   0   0   0
       9440.0 | 1   0   0   0   0   0   0   0   0   0
       9442.4 | 1   0   0   0   0   0   0   0   0   0
       9443.8 | 1   0   0   0   0   0   0   0   0   0
       9520.0 | 1   0   0   0   0   0   0   0   0   0
       9600.0 | 1   0   0   0   0   0   0   0   0   0
       9680.0 | 1   0   0   0   0   0   0   0   0   0
       9760.0 | 1   0   0   0   0   0   0   0   0   0
       9840.0 | 1   0   0   0   0   0   0   0   0   0
       9920.0 | 1   0   0   0   0   0   0   0   0   0
      10000.0 | 1   0   0   0   0   0   0   0   0   0
      10080.0 | 1   0   0   0   0   0   0   0   0   0
      10082.9 | 1   0   0   0   0   0   0   0   0   0
      10085.4 | 1   0   0   0   0   0   0   0   0   0
      10088.4 | 1   0   0   0   0   0   0   0   0   0
      10089.5 | 1   0   0   0   0   0   0   0   0   0
      10160.0 | 1   0   0   0   0   0   0   0   0   0
      10240.0 | 1   0   0   0   0   0   0   0   0   0
      10320.0 | 1   0   0   0   0   0   0   0   0   0
      10400.0 | 1   0   0   0   0   0   0   0   0   0
      10480.0 | 1   0   0   0   0   0   0   0   0   0
      10560.0 | 1   0   0   0   0   0   0   0   0   0
      10640.0 | 1   0   0   0   0   0   0   0   0   0
      10720.0 | 1   0   0   0   0   0   0   0   0   0
      10800.0 | 1   0   0   0   0   0   0   0   0   0
      10880.0 | 1   0   0   0   0   0   0   0   0   0
      10882.1 | 1   0   0   0   0   0   0   0   0   0
      10960.0 | 1   0   0   0   0   0   0   0   0   0
      11040.0 | 1   0   0   0   0   0   0   0   0   0
      11043.1 | 1   0   0   0   0   0   0   0   0   0
      11043.5 | 1   0   0   0   0   0   0   0   0   0
      11120.0 | 1   0   0   0   0   0   0   0   0   0
      11200.0 | 1   0   0   0   0   0   0   0   0   0
      11280.0 | 1   0   0   0   0   0   0   0   0   0
      11360.0 | 1   0   0   0   0   0   0   0   0   0
      11440.0 | 1   0   0   0   0   0   0   0   0   0
      11520.0 | 1   0   0   0   0   0   0   0   0   0
      11600.0 | 1   0   0   0   0   0   0   0   0   0
      11680.0 | 1   0   0   0   0   0   0   0   0   0
      11760.0 | 1   0   0   0   0   0   0   0   0   0
      11840.0 | 1   0   0   0   0   0   0   0   0   0
      11843.0 | 1   0   0   0   0   0   0   0   0   0
      11843.6 | 1   0   0   0   0   0   0   0   0   0
      11920.0 | 1   0   0   0   0   0   0   0   0   0
      12000.0 | 1   0   0   0   0   0   0   0   0   0
      12002.2 | 1   0   0   0   0   0   0   0   0   0
      12002.6 | 1   0   0   0   0   0   0   0   0   0
      12002.8 | 1   0   0   0   0   0   0   0   0   0
      12003.1 | 1   0   0   0   0   0   0   0   0   0
      12003.2 | 1   0   0   0   0   0   0   0   0   0
      12003.4 | 1   0   0   0   0   0   0   0   0   0
      12004.9 | 1   1   0   0   0   0   0   0   0   0
      12080.0 | 1   1   0   0   0   0   0   0   0   0
      12160.0 | 1   1   0   0   0   0   0   0   0   0
      12162.9 | 1   0   0   0   0   0   0   0   0   0
      12163.4 | 0   0   0   0   0   0   0   0   0   0
      12164.7 | 1   0   0   0   0   0   0   0   0   0
      12165.0 | 1   1   0   0   0   0   0   0   0   0
      12240.0 | 1   1   0   0   0   0   0   0   0   0
      12320.0 | 1   1   0   0   0   0   0   0   0   0
      12323.0 | 1   0   0   0   0   0   0   0   0   0
      12323.2 | 0   0   0   0   0   0   0   0   0   0
      12324.9 | 0   1   0   0   0   0   0   0   0   0
      12325.2 | 1   1   0   0   0   0   0   0   0   0
      12400.0 | 1   1   0   0   0   0   0   0   0   0
      12480.0 | 1   1   0   0   0   0   0   0   0   0
      12483.4 | 1   0   0   0   0   0   0   0   0   0
      12484.8 | 1   1   0   0   0   0   0   0   0   0
      12560.0 | 1   1   0   0   0   0   0   0   0   0
      12640.0 | 1   1   0   0   0   0   0   0   0   0
      12643.3 | 1   0   0   0   0   0   0   0   0   0
      12643.9 | 0   0   0   0   0   0   0   0   0   0
      12646.1 | 1   0   0   0   0   0   0   0   0   0
      12646.4 | 1   1   0   0   0   0   0   0   0   0
      12720.0 | 1   1   0   0   0   0   0   0   0   0
      12800.0 | 1   1   1   0   0   0   0   0   0   0
      12801.2 | 1   0   1   0   0   0   0   0   0   0
      12803.2 | 0   0   1   0   0   0   0   0   0   0
      12804.9 | 0   1   1   0   0   0   0   0   0   0
      12805.2 | 1   1   1   0   0   0   0   0   0   0
      12880.0 | 1   1   1   0   0   0   0   0   0   0
      12960.0 | 1   1   0   0   0   0   0   0   0   0
      12963.4 | 1   0   0   0   0   0   0   0   0   0
      12964.8 | 1   1   0   0   0   0   0   0   0   0
      13040.0 | 1   1   0   0   0   0   0   0   0   0
      13120.0 | 1   1   0   0   0   0   0   0   0   0
      13123.3 | 1   0   0   0   0   0   0   0   0   0
      13123.9 | 0   0   0   0   0   0   0   0   0   0
      13126.1 | 1   0   0   0   0   0   0   0   0   0
      13126.4 | 1   1   0   0   0   0   0   0   0   0
      13200.0 | 1   1   0   0   0   0   0   0   0   0
      13280.0 | 1   1   0   0   0   0   0   0   0   0
      13283.0 | 1   0   0   0   0   0   0   0   0   0
      13283.2 | 0   0   0   0   0   0   0   0   0   0
      13284.9 | 0   1   0   0   0   0   0   0   0   0
      13285.2 | 1   1   0   0   0   0   0   0   0   0
      13360.0 | 1   1   0   0   0   0   0   0   0   0
      13440.0 | 1   1   0   0   0   0   0   0   0   0
      13443.4 | 1   0   0   0   0   0   0   0   0   0
      13444.8 | 1   1   0   0   0   0   0   0   0   0
      13520.0 | 1   1   0   0   0   0   0   0   0   0
      13600.0 | 1   1   1   0   0   0   0   0   0   0
      13603.3 | 1   0   1   0   0   0   0   0   0   0
      13603.9 | 0   0   1   0   0   0   0   0   0   0
      13606.1 | 1   0   1   0   0   0   0   0   0   0
      13680.0 | 1   0   1   0   0   0   0   0   0   0
      13760.0 | 1   0   0   0   0   0   0   0   0   0
      13760.9 | 1   1   0   0   0   0   0   0   0   0
      13763.3 | 1   0   0   0   0   0   0   0   0   0
      13763.5 | 0   0   0   0   0   0   0   0   0   0
      13767.9 | 1   0   0   0   0   0   0   0   0   0
      13840.0 | 1   0   0   0   0   0   0   0   0   0
      13920.0 | 1   0   0   0   0   0   0   0   0   0
      13922.8 | 1   0   0   0   0   0   0   0   0   0
      14000.0 | 1   0   0   0   0   0   0   0   0   0
      14080.0 | 1   0   0   0   0   0   0   0   0   0
      14082.4 | 1   0   0   0   0   0   0   0   0   0
      14083.8 | 1   0   0   0   0   0   0   0   0   0
      14160.0 | 1   0   0   0   0   0   0   0   0   0
      14240.0 | 1   0   0   0   0   0   0   0   0   0
      14320.0 | 1   0   0   0   0   0   0   0   0   0
      14400.0 | 1   0   0   0   0   0   0   0   0   0
      14480.0 | 1   0   0   0   0   0   0   0   0   0
      14560.0 | 1   0   0   0   0   0   0   0   0   0
      14640.0 | 1   0   0   0   0   0   0   0   0   0
      14720.0 | 1   0   0   0   0   0   0   0   0   0
      14722.9 | 1   0   0   0   0   0   0   0   0   0
      14725.4 | 1   0   0   0   0   0   0   0   0   0
      14728.8 | 1   0   0   0   0   0   0   0   0   0
      14800.0 | 1   0   0   0   0   0   0   0   0   0
      14880.0 | 1   0   0   0   0   0   0   0   0   0
      14960.0 | 1   0   0   0   0   0   0   0   0   0
      15040.0 | 1   0   0   0   0   0   0   0   0   0
      15120.0 | 1   0   0   0   0   0   0   0   0   0
      15200.0 | 1   0   0   0   0   0   0   0   0   0
      15280.0 | 1   0   0   0   0   0   0   0   0   0
      15360.0 | 1   0   0   0   0   0   0   0   0   0
      15440.0 | 1   0   0   0   0   0   0   0   0   0
      15520.0 | 1   0   0   0   0   0   0   0   0   0
      15522.1 | 1   0   0   0   0   0   0   0   0   0
      15600.0 | 1   0   0   0   0   0   0   0   0   0
      15680.0 | 1   0   0   0   0   0   0   0   0   0
      15683.1 | 1   0   0   0   0   0   0   0   0   0
      15683.5 | 1   0   0   0   0   0   0   0   0   0
      15760.0 | 1   0   0   0   0   0   0   0   0   0
      15840.0 | 1   0   0   0   0   0   0   0   0   0
      15920.0 | 1   0   0   0   0   0   0   0   0   0
      16000.0 | 1   0   0   0   0   0   0   0   0   0
      16080.0 | 1   0   0   0   0   0   0   0   0   0
      16160.0 | 1   0   0   0   0   0   0   0   0   0
      16240.0 | 1   0   0   0   0   0   0   0   0   0
      16320.0 | 1   0   0   0   0   0   0   0   0   0
      16400.0 | 1   0   0   0   0   0   0   0   0   0
      16480.0 | 1   0   0   0   0   0   0   0   0   0
      16483.0 | 1   0   0   0   0   0   0   0   0   0
      16483.6 | 1   0   0   0   0   0   0   0   0   0
      16560.0 | 1   0   0   0   0   0   0   0   0   0
      16640.0 | 1   0   0   0   0   0   0   0   0   0
      16642.6 | 1   0   0   0   0   0   0   0   0   0
      16642.7 | 1   0   0   0   0   0   0   0   0   0
      16642.8 | 1   0   0   0   0   0   0   0   0   0
      16644.3 | 1   0   0   0   0   0   0   0   0   0
      16644.9 | 1   1   0   0   0   0   0   0   0   0
      16720.0 | 1   1   0   0   0   0   0   0   0   0
      16800.0 | 1   1   0   0   0   0   0   0   0   0
      16802.9 | 1   0   0   0   0   0   0   0   0   0
      16803.4 | 0   0   0   0   0   0   0   0   0   0
      16804.7 | 1   0   0   0   0   0   0   0   0   0
      16805.0 | 1   1   0   0   0   0   0   0   0   0
      16880.0 | 1   1   0   0   0   0   0   0   0   0
      16960.0 | 1   1   0   0   0   0   0   0   0   0
      16963.0 | 1   0   0   0   0   0   0   0   0   0
      16963.2 | 0   0   0   0   0   0   0   0   0   0
      16964.9 | 0   1   0   0   0   0   0   0   0   0
      16965.2 | 1   1   0   0   0   0   0   0   0   0
      17040.0 | 1   1   0   0   0   0   0   0   0   0
      17120.0 | 1   1   0   0   0   0   0   0   0   0
      17123.4 | 1   0   0   0   0   0   0   0   0   0
      17124.8 | 1   1   0   0   0   0   0   0   0   0
      17200.0 | 1   1   0   0   0   0   0   0   0   0
      17280.0 | 1   1   0   0   0   0   0   0   0   0
      17283.3 | 1   0   0   0   0   0   0   0   0   0
      17283.9 | 0   0   0   0   0   0   0   0   0   0
      17286.1 | 1   0   0   0   0   0   0   0   0   0
      17286.4 | 1   1   0   0   0   0   0   0   0   0
      17360.0 | 1   1   0   0   0   0   0   0   0   0
      17440.0 | 1   1   1   0   0   0   0   0   0   0
      17441.2 | 1   0   1   0   0   0   0   0   0   0
      17443.2 | 0   0   1   0   0   0   0   0   0   0
      17444.9 | 0   1   1   0   0   0   0   0   0   0
      17445.2 | 1   1   1   0   0   0   0   0   0   0
      17520.0 | 1   1   1   0   0   0   0   0   0   0
      17600.0 | 1   1   0   0   0   0   0   0   0   0
      17603.4 | 1   0   0   0   0   0   0   0   0   0
      17604.8 | 1   1   0   0   0   0   0   0   0   0
      17680.0 | 1   1   0   0   0   0   0   0   0   0
      17760.0 | 1   1   0   0   0   0   0   0   0   0
      17763.3 | 1   0   0   0   0   0   0   0   0   0
      17763.9 | 0   0   0   0   0   0   0   0   0   0
      17766.1 | 1   0   0   0   0   0   0   0   0   0
      17766.4 | 1   1   0   0   0   0   0   0   0   0
      17840.0 | 1   1   0   0   0   0   0   0   0   0
      17920.0 | 1   1   0   0   0   0   0   0   0   0
      17923.0 | 1   0   0   0   0   0   0   0   0   0
      17923.2 | 0   0   0   0   0   0   0   0   0   0
      17924.9 | 0   1   0   0   0   0   0   0   0   0
      17925.2 | 1   1   0   0   0   0   0   0   0   0
      18000.0 | 1   1   0   0   0   0   0   0   0   0
      18080.0 | 1   1   0   0   0   0   0   0   0   0
      18083.4 | 1   0   0   0   0   0   0   0   0   0
      18084.8 | 1   1   0   0   0   0   0   0   0   0
      18160.0 | 1   1   0   0   0   0   0   0   0   0
      18240.0 | 1   1   1   0   0   0   0   0   0   0
      18243.3 | 1   0   1   0   0   0   0   0   0   0
      18243.9 | 0   0   1   0   0   0   0   0   0   0
      18246.1 | 1   0   1   0   0   0   0   0   0   0
      18320.0 | 1   0   1   0   0   0   0   0   0   0
      18400.0 | 1   0   0   0   0   0   0   0   0   0
      18400.9 | 1   1   0   0   0   0   0   0   0   0
      18403.3 | 1   0   0   0   0   0   0   0   0   0
      18403.5 | 0   0   0   0   0   0   0   0   0   0
      18407.9 | 1   0   0   0   0   0   0   0   0   0
      18480.0 | 1   0   0   0   0   0   0   0   0   0
      18560.0 | 1   0   0   0   0   0   0   0   0   0
      18562.8 | 1   0   0   0   0   0   0   0   0   0
      18640.0 | 1   0   0   0   0   0   0   0   0   0
      18720.0 | 1   0   0   0   0   0   0   0   0   0
      18722.4 | 1   0   0   0   0   0   0   0   0   0
      18723.8 | 1   0   0   0   0   0   0   0   0   0
      18800.0 | 1   0   0   0   0   0   0   0   0   0
      18880.0 | 1   0   0   0   0   0   0   0   0   0
      18960.0 | 1   0   0   0   0   0   0   0   0   0
      19040.0 | 1   0   0   0   0   0   0   0   0   0
      19120.0 | 1   0   0   0   0   0   0   0   0   0
      19200.0 | 1   0   0   0   0   0   0   0   0   0
      19280.0 | 1   0   0   0   0   0   0   0   0   0
      19360.0 | 1   0   0   0   0   0   0   0   0   0
      19362.9 | 1   0   0   0   0   0   0   0   0   0
      19365.4 | 1   0   0   0   0   0   0   0   0   0
      19368.4 | 1   0   0   0   0   0   0   0   0   0
      19369.0 | 1   0   0   0   0   0   0   0   0   0
      19369.4 | 1   0   0   0   0   0   0   0   0   0
      19440.0 | 1   0   0   0   0   0   0   0   0   0
      19520.0 | 1   0   0   0   0   0   0   0   0   0
      19600.0 | 1   0   0   0   0   0   0   0   0   0
      19680.0 | 1   0   0   0   0   0   0   0   0   0
      19760.0 | 1   0   0   0   0   0   0   0   0   0
      19840.0 | 1   0   0   0   0   0   0   0   0   0
      19920.0 | 1   0   0   0   0   0   0   0   0   0
      20000.0 | 1   0   0   0   0   0   0   0   0   0
      20080.0 | 1   0   0   0   0   0   0   0   0   0
      20160.0 | 1   0   0   0   0   0   0   0   0   0
      20162.1 | 1   0   0   0   0   0   0   0   0   0
      20240.0 | 1   0   0   0   0   0   0   0   0   0
      20320.0 | 1   0   0   0   0   0   0   0   0   0
      20323.1 | 1   0   0   0   0   0   0   0   0   0
      20323.5 | 1   0   0   0   0   0   0   0   0   0
      20400.0 | 1   0   0   0   0   0   0   0   0   0
      20480.0 | 1   0   0   0   0   0   0   0   0   0
      20560.0 | 1   0   0   0   0   0   0   0   0   0
      20640.0 | 1   0   0   0   0   0   0   0   0   0
      20720.0 | 1   0   0   0   0   0   0   0   0   0
      20800.0 | 1   0   0   0   0   0   0   0   0   0
      20880.0 | 1   0   0   0   0   0   0   0   0   0
      20960.0 | 1   0   0   0   0   0   0   0   0   0
      21040.0 | 1   0   0   0   0   0   0   0   0   0
      21120.0 | 1   0   0   0   0   0   0   0   0   0
      21123.0 | 1   0   0   0   0   0   0   0   0   0
      21123.6 | 1   0   0   0   0   0   0   0   0   0
      21200.0 | 1   0   0   0   0   0   0   0   0   0
      21280.0 | 1   0   0   0   0   0   0   0   0   0
      21282.2 | 1   0   0   0   0   0   0   0   0   0
      21282.6 | 1   0   0   0   0   0   0   0   0   0
      21282.8 | 1   0   0   0   0   0   0   0   0   0
      21282.9 | 1   0   0   0   0   0   0   0   0   0
      21283.1 | 1   0   0   0   0   0   0   0   0   0
      21283.4 | 1   0   0   0   0   0   0   0   0   0
      21283.5 | 1   0   0   0   0   0   0   0   0   0
      21284.9 | 1   1   0   0   0   0   0   0   0   0
      21360.0 | 1   1   0   0   0   0   0   0   0   0
      21440.0 | 1   1   0   0   0   0   0   0   0   0
      21442.9 | 1   0   0   0   0   0   0   0   0   0
      21443.4 | 0   0   0   0   0   0   0   0   0   0
      21444.7 | 1   0   0   0   0   0   0   0   0   0
      21445.0 | 1   1   0   0   0   0   0   0   0   0
      21520.0 | 1   1   0   0   0   0   0   0   0   0
      21600.0 | 1   1   0   0   0   0   0   0   0   0
      21603.0 | 1   0   0   0   0   0   0   0   0   0
      21603.2 | 0   0   0   0   0   0   0   0   0   0
      21604.9 | 0   1   0   0   0   0   0   0   0   0
      21605.2 | 1   1   0   0   0   0   0   0   0   0
      21680.0 | 1   1   0   0   0   0   0   0   0   0
      21760.0 | 1   1   0   0   0   0   0   0   0   0
      21763.4 | 1   0   0   0   0   0   0   0   0   0
      21764.8 | 1   1   0   0   0   0   0   0   0   0
      21840.0 | 1   1   0   0   0   0   0   0   0   0
      21920.0 | 1   1   0   0   0   0   0   0   0   0
      21923.3 | 1   0   0   0   0   0   0   0   0   0
      21923.9 | 0   0   0   0   0   0   0   0   0   0
      21926.1 | 1   0   0   0   0   0   0   0   0   0
      21926.4 | 1   1   0   0   0   0   0   0   0   0
      22000.0 | 1   1   0   0   0   0   0   0   0   0
      22080.0 | 1   1   1   0   0   0   0   0   0   0
      22081.2 | 1   0   1   0   0   0   0   0   0   0
      22083.2 | 0   0   1   0   0   0   0   0   0   0
      22084.9 | 0   1   1   0   0   0   0   0   0   0
      22085.2 | 1   1   1   0   0   0   0   0   0   0
      22160.0 | 1   1   1   0   0   0   0   0   0   0
      22240.0 | 1   1   0   0   0   0   0   0   0   0
      22243.4 | 1   0   0   0   0   0   0   0   0   0
      22244.8 | 1   1   0   0   0   0   0   0   0   0
      22320.0 | 1   1   0   0   0   0   0   0   0   0
      22400.0 | 1   1   0   0   0   0   0   0   0   0
      22403.3 | 1   0   0   0   0   0   0   0   0   0
      22403.9 | 0   0   0   0   0   0   0   0   0   0
      22406.1 | 1   0   0   0   0   0   0   0   0   0
      22406.4 | 1   1   0   0   0   0   0   0   0   0
      22480.0 | 1   1   0   0   0   0   0   0   0   0
      22560.0 | 1   1   0   0   0   0   0   0   0   0
      22563.0 | 1   0   0   0   0   0   0   0   0   0
      22563.2 | 0   0   0   0   0   0   0   0   0   0
      22564.9 | 0   1   0   0   0   0   0   0   0   0
      22565.2 | 1   1   0   0   0   0   0   0   0   0
      22640.0 | 1   1   0   0   0   0   0   0   0   0
      22720.0 | 1   1   0   0   0   0   0   0   0   0
      22723.4 | 1   0   0   0   0   0   0   0   0   0
      22724.8 | 1   1   0   0   0   0   0   0   0   0
      22800.0 | 1   1   0   0   0   0   0   0   0   0
      22880.0 | 1   1   1   0   0   0   0   0   0   0
      22883.3 | 1   0   1   0   0   0   0   0   0   0
      22883.9 | 0   0   1   0   0   0   0   0   0   0
      22886.1 | 1   0   1   0   0   0   0   0   0   0
      22960.0 | 1   0   1   0   0   0   0   0   0   0
      23040.0 | 1   0   0   0   0   0   0   0   0   0
      23040.9 | 1   1   0   0   0   0   0   0   0   0
      23043.3 | 1   0   0   0   0   0   0   0   0   0
      23043.5 | 0   0   0   0   0   0   0   0   0   0
      23047.9 | 1   0   0   0   0   0   0   0   0   0
      23120.0 | 1   0   0   0   0   0   0   0   0   0
      23200.0 | 1   0   0   0   0   0   0   0   0   0
      23202.8 | 1   0   0   0   0   0   0   0   0   0
      23280.0 | 1   0   0   0   0   0   0   0   0   0
      23360.0 | 1   0   0   0   0   0   0   0   0   0
      23362.4 | 1   0   0   0   0   0   0   0   0   0
      23363.8 | 1   0   0   0   0   0   0   0   0   0
      23440.0 | 1   0   0   0   0   0   0   0   0   0
      23520.0 | 1   0   0   0   0   0   0   0   0   0
      23600.0 | 1   0   0   0   0   0   0   0   0   0
      23680.0 | 1   0   0   0   0   0   0   0   0   0
      23760.0 | 1   0   0   0   0   0   0   0   0   0
      23840.0 | 1   0   0   0   0   0   0   0   0   0
      23920.0 | 1   0   0   0   0   0   0   0   0   0
      24000.0 | 1   0   0   0   0   0   0   0   0   0
      24002.9 | 1   0   0   0   0   0   0   0   0   0
      24005.4 | 1   0   0   0   0   0   0   0   0   0
      24008.8 | 1   0   0   0   0   0   0   0   0   0
      24080.0 | 1   0   0   0   0   0   0   0   0   0
      24160.0 | 1   0   0   0   0   0   0   0   0   0
      24240.0 | 1   0   0   0   0   0   0   0   0   0
      24320.0 | 1   0   0   0   0   0   0   0   0   0
      24400.0 | 1   0   0   0   0   0   0   0   0   0
      24480.0 | 1   0   0   0   0   0   0   0   0   0
      24560.0 | 1   0   0   0   0   0   0   0   0   0
      24640.0 | 1   0   0   0   0   0   0   0   0   0
      24720.0 | 1   0   0   0   0   0   0   0   0   0
      24800.0 | 1   0   0   0   0   0   0   0   0   0
      24802.1 | 1   0   0   0   0   0   0   0   0   0
      24880.0 | 1   0   0   0   0   0   0   0   0   0
      24960.0 | 1   0   0   0   0   0   0   0   0   0
      24963.1 | 1   0   0   0   0   0   0   0   0   0
      24963.5 | 1   0   0   0   0   0   0   0   0   0
      25040.0 | 1   0   0   0   0   0   0   0   0   0
      25120.0 | 1   0   0   0   0   0   0   0   0   0
      25200.0 | 1   0   0   0   0   0   0   0   0   0
      25280.0 | 1   0   0   0   0   0   0   0   0   0
